imageSource, lat, lng
0.png, 40.7105626, -73.9386937
1.png, 40.720014, -73.9513028
2.png, 40.67803440000001, -73.9313471
3.png, 40.7101417, -73.9932016
4.png, 40.7217745, -73.9733291
5.png, 40.856961, -73.925736
6.png, 40.715793700000006, -73.9891715
7.png, 40.6720456, -74.0069318
8.png, 40.673731, -74.003398
9.png, 40.6848118, -73.9821428
10.png, 40.678491, -73.9667295
11.png, 40.6921112, -73.958019
12.png, 40.7023929, -73.9385247
13.png, 40.70094, -73.9322698
14.png, 40.6903785, -73.9180756
15.png, 40.7162887, -73.99431870000001
16.png, 40.7422885, -74.001672
17.png, 40.819292, -73.9209187
18.png, 40.8171749, -73.9130598
19.png, 40.7885208, -73.879779
20.png, 40.7356348, -73.8709036
21.png, 40.7013416, -73.8525251
22.png, 40.661248500000006, -73.9352551
23.png, 40.6582962, -73.9441091
24.png, 40.7014697, -73.9542639
25.png, 40.7475862, -73.9114612
26.png, 40.7768652, -73.9258701
27.png, 40.8280502, -73.9291048
28.png, 40.8767539, -73.9157206
29.png, 40.8731682, -73.9164394
30.png, 40.8881872, -73.8975513
31.png, 40.630909, -73.9554951
32.png, 40.6215263, -73.9593172
33.png, 40.626685, -74.0373212
34.png, 40.6105236, -74.0257609
35.png, 40.579289, -73.9966536
36.png, 40.5881745, -73.9795196
37.png, 40.5886267, -73.9809465
38.png, 40.5825871, -73.969346
39.png, 40.6800237, -73.9910638
40.png, 40.7198433, -73.8843441
41.png, 40.7016558, -73.9821522
42.png, 40.7177921, -73.984369
43.png, 40.6906042, -73.9791481
44.png, 40.6874325, -73.9692481
45.png, 40.6834897, -73.9694452
46.png, 40.6473646, -73.9221445
47.png, 40.757266, -73.89522850000002
48.png, 40.6454943, -74.0829161
49.png, 40.6379456, -74.1189086
50.png, 40.6358084, -74.1411951
51.png, 40.6039259, -74.1522163
52.png, 40.550722, -74.133186
53.png, 40.5709729, -74.1062325
54.png, 40.6174687, -74.0948626
55.png, 40.6398283, -74.0986633
56.png, 40.5295885, -74.1938603
57.png, 40.6261588, -73.9889811
58.png, 40.8793731, -73.91183
